5.61,2.405,3.424,5.107,3.741,4.159,2.594,4.119,5.352,2.272,0.0,4.246,4.003,7.959,3.899,8.629,7.857,3.724,5.215,5.425,9.07,9.215,7.311,4.308,5.103,9.148,9.558,5.809,6.382,7.274,6.136
5.441,4.664,3.599,6.51,2.603,0.331,4.495,3.007,5.317,4.531,4.246,0.0,3.157,4.93,2.182,5.857,4.828,2.181,2.298,8.295,11.94,10.025,8.611,6.088,8.186,12.018,10.222,6.594,4.756,9.412,2.826
8.448,5.165,6.059,7.369,5.387,3.07,5.354,6.014,8.112,5.032,4.003,3.157,0.0,5.087,1.651,7.161,4.985,1.477,2.919,8.584,12.707,12.374,9.47,6.776,8.475,12.785,12.717,7.401,6.993,9.701,3.263
10.151,9.121,8.309,10.108,7.313,5.192,8.093,7.718,10.027,8.988,7.959,4.93,5.087,0.0,4.19,5.982,0.315,4.189,2.832,12.54,16.185,14.735,12.209,10.732,12.431,16.263,14.932,9.952,8.337,13.657,2.197
7.547,5.061,5.306,6.968,4.662,2.169,4.953,5.113,7.423,4.928,3.899,2.411,1.651,3.949,0.0,5.879,3.847,0.162,1.317,8.48,12.125,10.88,9.069,6.672,8.371,12.203,12.328,6.812,5.711,9.597,1.845
9.009,8.626,7.168,10.847,6.452,6.038,8.457,6.575,8.885,8.493,8.629,5.785,7.161,5.76,5.804,0.0,5.441,5.802,4.294,12.776,18.233,13.593,11.841,10.05,12.667,18.311,13.79,10.162,5.111,15.861,5.146
10.049,9.019,8.207,10.006,7.211,5.09,7.991,7.616,9.925,8.886,7.857,4.828,4.985,0.314,4.088,5.88,0.0,4.087,2.73,12.438,16.083,14.633,12.107,10.63,12.329,16.161,14.83,9.85,8.235,13.555,2.094
7.471,4.886,5.132,6.794,4.488,2.093,4.779,5.037,7.347,4.753,3.724,2.335,1.477,4.193,0.162,5.802,4.091,0.0,1.561,8.305,11.95,10.706,8.895,6.497,8.196,12.028,12.252,6.638,5.634,9.422,2.089
7.519,5.663,5.677,7.509,4.681,2.593,5.494,5.086,7.395,5.53,5.244,2.298,2.948,2.832,1.591,4.333,2.73,1.59,0.0,9.293,12.938,12.103,9.61,7.087,9.184,13.016,12.3,7.353,5.598,10.41,0.728
6.738,3.974,5.929,3.849,6.762,8.208,4.348,7.565,6.719,4.14,5.2,8.295,8.584,12.54,8.48,12.776,12.438,8.305,9.264,0.0,4.188,4.334,2.43,3.05,0.385,4.266,4.677,4.131,9.459,2.393,9.792
